UAV1_x,UAV1_y,UAV2_x,UAV2_y
-200.0,10.0,-150.0,100.0
-198.98014984452487,10.291385758707179,-149.70861424129282,98.98014984452487
-198.54608390748157,10.908207194320928,-149.77090317415525,98.15678562881064
-198.83746966618875,11.928057349796056,-150.79075332963038,97.86539987010346
-199.03027847213718,12.893142531516318,-151.38040802782925,97.3350166351317
-198.62894903009138,13.52815090879534,-151.5617338624487,96.5777840315047
-198.2705903632219,14.18703193895011,-151.67628565264283,95.7834547365303
-197.7469535290292,14.754091765036408,-152.17359903615142,95.20177077117505
-197.7181079422008,15.596035617436199,-152.64942584925788,94.60814982226306
-197.24730460882327,16.192447388419826,-153.06903547059505,93.9832971001459
-196.71357509589282,16.753900170762936,-153.58941619712718,93.41442832535927
-196.25670696647438,17.358053721723834,-153.91695064596905,92.73842272963361
-195.46209542600846,17.77457204432501,-154.21245294144364,92.04462149314836
-195.28981568607588,18.536830256111386,-154.91695691161314,91.57804340927139
-194.89476583747626,19.175327296416068,-155.2619968128745,90.91176306488988
-194.82897177992285,19.99674422063532,-155.85936751191522,90.3856664970525
-194.1353582795177,20.46937256549249,-156.0720187833728,89.64583691389113
-193.7413924897861,21.108471860723846,-156.41803042703808,88.9800964264007
-193.14208700688508,21.633493548638864,-156.53796907822564,88.18875983197822
-192.53196601982486,22.152506623132105,-157.17293176419554,87.68354770132369
-192.308550851517,22.88635626359887,-157.50236763961163,87.00859845369483
-192.18958240291275,23.678231859456545,-157.8503502314548,86.34395293741434
-192.19391737431488,24.53860935531775,-157.5965565331253,85.34498725992682
-191.66591974532838,25.103246517629717,-157.34765873746954,84.34874152836916
-191.58638475567625,25.91702959068301,-157.4946162098881,83.57241539018611
-191.31200864004,26.62256759374512,-158.26422335500394,83.14200573683488
-190.67843788942625,27.128553021819723,-158.61063607716136,82.47648807072896
-190.13092434532805,27.68234800906965,-159.1639545113389,81.925918022412
-189.74781045060791,28.32747613486294,-159.58695874603106,81.30295119660319
-189.30488367370043,28.93937488166326,-160.15214523003885,80.75897450930304
-188.9186441449724,29.582766544118822,-160.59027977503843,80.14441341144278
-188.36208695555672,30.13153728397014,-160.80461897125255,79.40552156425727
-188.25991322563266,30.93274327909458,-161.02116309912824,78.66785467910596
-188.046181785492,31.671972768543135,-161.07640535889564,77.8405756450056
-187.72018703492904,32.34883375220152,-161.74160523968482,77.35216195591734
-187.59203140335057,33.13560535751796,-162.53924438845232,76.93732563792815
-187.3879685119409,33.880206262928176,-162.93632011527302,76.29995408552408
-186.9614036466107,34.50119496060477,-163.28107693343924,75.63351647275638
-186.65207430703416,35.18731450592227,-163.7295044489256,75.02467369183321
-186.1005766891671,35.738896118856154,-164.16191623728446,74.4069332847281
-185.3368377162794,36.17256586788969,-164.56920540244525,73.77523586473517
-185.01992898791536,36.854474641658584,-164.66068979547717,72.96809134911508
-184.82153636699903,37.602225697342874,-165.1690479978633,72.39254339424734
-184.76961245426293,38.431348257571734,-165.5265325851337,71.73317676431533
-184.59273615305378,39.19105282420446,-165.57203525497346,70.90048684692184
-183.9235491031151,39.67725141932079,-166.19472260223054,70.38845508364908
-183.53905840141007,40.321614652344685,-166.43416925494373,69.66351182340749
-183.3601979191316,41.080216896161105,-166.76760706748024,68.99078587417885
-182.82800479037863,41.642523225269485,-167.25662084697777,68.40449101770635
-182.57902210786781,42.362168691179065,-167.60386037664583,67.73943268910635
-182.21761486264649,43.0193560666939,-167.99121089921206,67.09665824544979
-181.54574627378645,43.50406491796502,-168.3871366024097,66.45864779103289
-181.46842186059047,44.319076089049496,-168.7952931431564,65.82743224636549
-181.21882095469923,45.038378097525495,-168.96018624101163,65.06107034453615
-180.56192030467048,45.531402470369564,-169.40096532646297,64.44797843581576
-179.54207014919535,45.82278822907674,-170.08556790923222,63.970344025605314
-179.291476106762,46.54153849502934,-169.79418215052505,62.95049387013019
-179.1589363940623,47.325874499722865,-169.95841965412188,62.183767749268405
-178.46735033017148,47.799629198199106,-170.51918824862915,61.63733667891242
-178.06733299930104,48.435366526131105,-171.3321270802189,61.231000184713366
-177.36323947619852,48.90217263615639,-172.26734363974523,61.09195489871401
-176.3524881818504,49.1986133177119,-173.28719379522036,60.80056914000683
-175.37116251670355,49.51140157104591,-174.3070439506955,60.50918338129965
-174.53935747625752,49.9072568381026,-175.3268941061706,60.21779762259247
-173.91839064221642,50.4202444420509,-176.34674426164574,59.92641186388529
-173.21896259609514,50.88964248373244,-177.08068447749343,59.476187249829536
-172.74710417435276,51.48546809451336,-177.88094501947188,59.06280726140197
-171.94942325335785,51.90028120570955,-178.368229635963,58.47555175881478
-171.14878788482218,52.31345295716087,-178.43632097273917,57.65541110083041
-170.67374311178136,52.90750837277599,-178.66592056921564,56.92499725379064
-170.1706519580919,53.48598246580855,-178.85191292199787,56.17035716025406
-169.9773167904475,54.23654321775503,-178.8443093231706,55.30816376026778
-170.14707224457467,55.18882098179682,-178.77955378014434,54.41421928017094
-170.43845800328185,56.20867113727195,-178.48816802143716,53.394369124695814
-170.72984376198903,57.228521292747075,-178.23098008000696,52.39351775659679
-171.0212295206962,58.2483714482222,-178.26132651683236,51.55240770975087
-171.00610066836072,59.097935708673624,-178.3312746463667,50.733298603298806
-170.85893110675326,59.87414401952951,-178.63209722366088,50.04245307893555
-170.8600094846109,60.7327122967549,-178.74530497676196,49.24737709668724
